      TNOW              PSI               THETA             PHI               OMEGA1            OMEGA2            OMEGA3            VCX               VCY               VCZ               XC                YC                ZC                XP                YP                ZP                VPX               VPY               VPZ               OMEGAX            OMEGAY            OMEGAZ            FX/WGT            FY/WGT            FZ/WGT            FN/WGT            FT/WGT            XMU               VS                ALPHA             MODE  
         0.0000000         0.0000000         0.0000000         0.0000000         0.0000000        23.2313095        -4.5854458         0.0000000         0.0000000        -0.0000000         0.0000000         0.0000000         0.0500000         0.0000000         0.0000000         0.0000000        -1.1615655         0.0000000         0.0000000         0.0000000        23.2313095        -4.5854458         0.2499999        -0.0000000         1.0000000         1.0000000         0.2499999         0.2499999         1.1615655        -0.0000000      sliding
         0.0000000         0.0000000         0.0000000         0.0000000         0.0000000        23.2313095        -4.5854458         0.0000000         0.0000000        -0.0000000         0.0000000         0.0000000         0.0500000         0.0000000         0.0000000         0.0000000        -1.1615655         0.0000000         0.0000000         0.0000000        23.2313095        -4.5854458         0.2499999        -0.0000000         1.0000000         1.0000000         0.2499999         0.2499999         1.1615655        -0.0000000      sliding
         0.0050000        -0.0227281        -0.0025506         0.1148868        -1.0013212        22.7299541        -4.4695655         0.0123148         0.0004148         0.0002548         0.0000307         0.0000002         0.0500008         0.0000365         0.0002546         0.0000000        -1.1224754        -0.0496521         0.0000000        -1.0013212        22.7184799        -4.5275270         0.2534906         0.0112130         1.0149545         1.0149545         0.2537385         0.2499999         1.1235730         0.0442056      sliding
         0.0100000        -0.0443799        -0.0097573         0.2271368        -1.8505752        22.2181559        -4.1642434         0.0248685         0.0016296         0.0016272         0.0001237         0.0000018         0.0500108         0.0001627         0.0008802         0.0000000        -1.0803428        -0.0909192         0.0000000        -1.8505752        22.1764673        -4.3808300         0.2584030         0.0217466         1.0372662         1.0372662         0.2593164         0.2499999         1.0841618         0.0839599      sliding
         0.0150000        -0.0641470        -0.0207470         0.3366557        -2.5197785        21.7121024        -3.7215999         0.0372518         0.0035019         0.0025816         0.0002798         0.0000058         0.0500314         0.0003455         0.0010282         0.0000000        -1.0406645        -0.1225661         0.0000000        -2.5197785        21.6302232        -4.1712279         0.2438535         0.0287203         0.9821565         0.9821565         0.2455390         0.2499999         1.0478574         0.1172367      sliding
         0.0200000        -0.0814139        -0.0347659         0.4435389        -3.0699195        21.2322083        -3.1653953         0.0489622         0.0058074         0.0011209         0.0004966         0.0000130         0.0500411         0.0005263         0.0003769         0.0000000        -1.0059489        -0.1478148         0.0000000        -3.0699195        21.1093528        -3.9014896         0.2370764         0.0348362         0.9584890         0.9584890         0.2396221         0.2499999         1.0167509         0.1458966      sliding
         0.0250000        -0.0956720        -0.0512661         0.5479214        -3.5121151        20.7652598        -2.5199587         0.0603331         0.0084171        -0.0014438         0.0007720         0.0000240         0.0500407         0.0007328        -0.0003852         0.0000000        -0.9724207        -0.1673317         0.0000000        -3.5121151        20.6088463        -3.5807350         0.2309993         0.0397498         0.9375779         0.9375779         0.2343944         0.2499999         0.9867127         0.1704086      sliding
         0.0300000        -0.1065409        -0.0697079         0.6499535        -3.8469806        20.3091942        -1.8113214         0.0714314         0.0111782        -0.0049183         0.0011048         0.0000393         0.0500252         0.0009689        -0.0012319         0.0000000        -0.9398792        -0.1812676         0.0000000        -3.8469806        20.1337098        -3.2214878         0.2262489         0.0436350         0.9216734         0.9216734         0.2304182         0.2499999         0.9571995         0.1905234      sliding
         0.0350000        -0.1137618        -0.0895638         0.7498088        -4.0787156        19.8609709        -1.0633158         0.0823529         0.0139475        -0.0090217         0.0014939         0.0000594         0.0499905         0.0012428        -0.0021382         0.0000000        -0.9080449        -0.1899495         0.0000000        -4.0787156        19.6862576        -2.8355010         0.2231836         0.0466867         0.9120583         0.9120583         0.2280144         0.2499999         0.9276995         0.2062116      sliding
         0.0400000        -0.1171829        -0.1103354         0.8476684        -4.2147453        19.4171019        -0.2971360         0.0932062         0.0165945        -0.0134341         0.0019387         0.0000846         0.0499344         0.0015661        -0.0030810         0.0000000        -0.8766022        -0.1938663         0.0000000        -4.2147453        19.2663126        -2.4333790         0.2218986         0.0490743         0.9090423         0.9090423         0.2272604         0.2499998         0.8977837         0.2176532      sliding
